ds,yhat,yhat_lower,yhat_upper
2024-06-30,196.81661797193303,167.38931787858056,228.49594564669704
2024-07-01,196.487780397808,168.5744274385136,229.35752573376564
2024-07-02,196.424785468063,166.36049148865297,229.87586914049902
2024-07-03,196.20833845121,167.2528436414993,229.34196698129074
2024-07-04,196.43626960335507,167.18263352524937,229.79750019995913
2024-07-05,196.63455415362156,166.28357276790058,231.85973414723443
2024-07-06,197.03899657661643,167.1889841644852,231.22500509584938
2024-07-07,197.07605934795487,167.88387195764452,232.094308955024
2024-07-08,196.74722177382964,166.52351164877962,231.7576870806319
2024-07-09,196.68422684408614,165.53485079309357,232.10269063812444
2024-07-10,196.46777982723245,165.36972898063138,232.34313786982878
2024-07-11,196.69571097937748,165.56013542463714,232.65539082662823
2024-07-12,196.89399552964383,164.88837009580584,234.00019654813642
2024-07-13,197.29843795263884,165.20059218952824,234.02733902553825
2024-07-14,197.33550072397668,164.00787514753148,234.58012816199786
2024-07-15,197.00666314985338,164.59851859843891,234.06268545501965
2024-07-16,196.9436682201085,164.1388383637626,235.87062361707092
2024-07-17,196.72722120325477,162.13302153552902,234.43758386104793
2024-07-18,196.95515235540023,163.06662186241581,235.9274496102069
2024-07-19,197.15343690566712,164.28875934104468,237.3017285103115
2024-07-20,197.5578793286605,163.7030768029569,237.3449811117344
2024-07-21,197.59494209999963,162.798732572078,236.86078762313463
2024-07-22,197.26610452587545,162.0420148823738,237.9176682199436
2024-07-23,197.20310959613062,161.92291395149974,238.77736634641167
2024-07-24,196.98666257927718,161.0135087675564,237.167898360108
2024-07-25,197.21459373142298,161.54195508118931,238.70889411013556
2024-07-26,197.41287828168794,163.37160470054724,240.65718898275327
2024-07-27,197.81732070468288,161.594151523625,241.00085368492762
2024-07-28,197.85438347602144,161.62844420443184,240.54789408870977
2024-07-29,197.52554590189797,159.05914854388772,241.00747071754685
2024-07-30,197.46255097215294,159.95251131314905,241.3815144406483
2024-07-31,197.2461039552997,160.14023615169108,241.10803635175796
2024-08-01,197.4740351074451,159.47888354247362,242.0070826639294
2024-08-02,197.6723196577112,159.51008683194826,241.56131720407458
2024-08-03,198.07676208070586,159.6593575726661,242.91989102666378
2024-08-04,198.11382485204382,160.2836086562159,244.60427844807882
2024-08-05,197.78498727792046,157.8999338495494,244.05888725282585
2024-08-06,197.72199234817506,158.18279055614033,244.2963951763352
2024-08-07,197.5055453313221,157.20757799214,245.04736280752823
2024-08-08,197.73347648346788,157.5981069045944,243.49991321174326
2024-08-09,197.9317610337335,157.48271646844412,245.3044447980562
2024-08-10,198.3362034567283,157.92053003289323,245.37920553478037
2024-08-11,198.37326622806702,157.46992197870983,246.1643642008204
2024-08-12,198.04442865394293,157.42190817033858,245.9612979661027
2024-08-13,197.98143372419761,156.51802780971465,246.2251947440593
2024-08-14,197.76498670734443,155.8627051499226,247.20970722340562
2024-08-15,197.99291785949032,154.86417301361197,247.11023430421383
2024-08-16,198.1912024097548,156.02231416781754,248.32353438456582
2024-08-17,198.59564483275128,157.46351518059913,248.75712932081555
2024-08-18,198.63270760408938,156.10333277367172,249.17774512516408
2024-08-19,198.30387002996503,155.00861937629946,248.478499116894
